period_id,cc_id,account_code,budget,actual,account_name,account_type,cc_name,department,company_code,fiscal_year,fiscal_period,quarter,month_name,company_name,country,currency,variance,variance_pct,is_over_budget
2024-P01,CC-101,GL-1001,272521.82,299767.02,Software Licenses,OPEX,Marketing C001,Marketing,C001,2024,1,Q1,January,Gen Digital Germany GmbH,DE,EUR,27245.20000000001,10.0,True
2024-P01,CC-101,GL-1002,492468.03,454846.19,Salaries,OPEX,Marketing C001,Marketing,C001,2024,1,Q1,January,Gen Digital Germany GmbH,DE,EUR,-37621.840000000026,-7.64,False
2024-P01,CC-101,GL-1003,151624.69,158352.06,Travel & Entertainment,OPEX,Marketing C001,Marketing,C001,2024,1,Q1,January,Gen Digital Germany GmbH,DE,EUR,6727.369999999995,4.44,True
2024-P01,CC-101,GL-2001,294371.29,251312.28,Server Hardware,CAPEX,Marketing C001,Marketing,C001,2024,1,Q1,January,Gen Digital Germany GmbH,DE,EUR,-43059.00999999998,-14.63,False
2024-P01,CC-101,GL-2002,319312.18,273405.37,Office Equipment,CAPEX,Marketing C001,Marketing,C001,2024,1,Q1,January,Gen Digital Germany GmbH,DE,EUR,-45906.81,-14.38,False
2024-P01,CC-101,GL-3001,3448882.06,3798527.02,Product Revenue,REVENUE,Marketing C001,Marketing,C001,2024,1,Q1,January,Gen Digital Germany GmbH,DE,EUR,349644.95999999996,10.14,True
2024-P01,CC-101,GL-3002,2658103.36,2698952.69,Service Revenue,REVENUE,Marketing C001,Marketing,C001,2024,1,Q1,January,Gen Digital Germany GmbH,DE,EUR,40849.330000000075,1.54,True
2024-P01,CC-102,GL-1001,305638.57,297599.38,Software Licenses,OPEX,IT C001,IT,C001,2024,1,Q1,January,Gen Digital Germany GmbH,DE,EUR,-8039.190000000002,-2.63,False
2024-P01,CC-102,GL-1002,431557.15,442030.47,Salaries,OPEX,IT C001,IT,C001,2024,1,Q1,January,Gen Digital Germany GmbH,DE,EUR,10473.319999999949,2.43,True
2024-P01,CC-102,GL-1003,332264.8,371000.64,Travel & Entertainment,OPEX,IT C001,IT,C001,2024,1,Q1,January,Gen Digital Germany GmbH,DE,EUR,38735.840000000026,11.66,True
2024-P01,CC-102,GL-2001,981217.97,1053865.23,Server Hardware,CAPEX,IT C001,IT,C001,2024,1,Q1,January,Gen Digital Germany GmbH,DE,EUR,72647.26000000001,7.4,True
2024-P01,CC-102,GL-2002,736071.34,842488.74,Office Equipment,CAPEX,IT C001,IT,C001,2024,1,Q1,January,Gen Digital Germany GmbH,DE,EUR,106417.40000000002,14.46,True
2024-P01,CC-102,GL-3001,4213704.34,3914814.5,Product Revenue,REVENUE,IT C001,IT,C001,2024,1,Q1,January,Gen Digital Germany GmbH,DE,EUR,-298889.83999999985,-7.09,False
2024-P01,CC-102,GL-3002,2480914.01,2778663.03,Service Revenue,REVENUE,IT C001,IT,C001,2024,1,Q1,January,Gen Digital Germany GmbH,DE,EUR,297749.02,12.0,True
2024-P01,CC-103,GL-1001,471614.98,446169.66,Software Licenses,OPEX,Finance C001,Finance,C001,2024,1,Q1,January,Gen Digital Germany GmbH,DE,EUR,-25445.320000000007,-5.4,False
